noise_std,sample_index,method,mse,psnr,gfc
0.01,23,Wiener,0.00013579512597061694,38.67115817699503,0.999679684638977
0.01,23,DnResUnet,8.36575563880615e-05,40.77494825180682,0.9998964667320251
0.01,23,BasicCNN,0.0002011152682825923,36.96554957353691,0.9995095133781433
0.01,23,DnCNN,0.00011595420073717833,39.357135133137895,0.9997431635856628
0.01,23,UNet1D,9.536434663459659e-05,40.20613962339587,0.9997113347053528
0.01,23,TCN,6.744102574884892e-05,41.71075832901743,0.9998312592506409
0.01,24,No Denoise,2.073217365250457e-05,46.83355162170503,0.9999663829803467
0.01,24,Wavelet,1.8876007743529044e-05,47.24089853167865,0.9999694228172302
0.01,24,S-G Filter,1.695348328212276e-05,47.7074105765049,0.9999725818634033
0.01,24,Wiener,2.2955722670303658e-05,46.39109030635496,0.9999638199806213
0.01,24,DnResUnet,1.2807961866201367e-05,48.92519974133961,0.9999798536300659
0.01,24,BasicCNN,2.4957689674920402e-05,46.02795619625529,0.9999602437019348
0.01,24,DnCNN,7.092277428455418e-06,51.492142844514404,0.9999885559082031
0.01,24,UNet1D,0.00021470827050507069,36.68151226334429,0.999880313873291
0.01,24,TCN,6.9020748014736455e-06,51.61020338337606,0.999988853931427
0.01,25,No Denoise,0.00042209913954138756,33.74585533163782,0.9984150528907776
0.01,25,Wavelet,0.0001014555964502506,39.937239916032766,0.9996277689933777
0.01,25,S-G Filter,0.00010185972496401519,39.919975008161515,0.9996247887611389
0.01,25,Wiener,0.00015659735072404146,38.05215589504527,0.9994524121284485
0.01,25,DnResUnet,4.769594670506194e-05,43.21518526587158,0.9998550415039062
0.01,25,BasicCNN,0.0001392702106386423,38.5614176755869,0.99952232837677
0.01,25,DnCNN,7.435935549438e-05,41.286643831073384,0.9997249245643616
0.01,25,UNet1D,0.00010045548697235063,39.98026336698378,0.9996278285980225
0.01,25,TCN,5.5885815527290106e-05,42.52698407139171,0.9998116493225098
0.01,26,No Denoise,1.5743153198854998e-05,48.029082783483936,0.9999775886535645
0.01,26,Wavelet,4.541022008197615e-06,53.428463932728675,0.9999935626983643
0.01,26,S-G Filter,4.893840923614334e-06,53.10350151682088,0.9999930262565613
0.01,26,Wiener,1.4998094229667913e-05,48.239639221524165,0.9999791979789734
0.01,26,DnResUnet,1.4969229596317746e-05,48.248005504036186,0.9999849796295166
0.01,26,BasicCNN,1.8417693354422227e-05,47.34764762096516,0.9999759197235107
0.01,26,DnCNN,9.381800737173762e-06,50.277137953991875,0.9999879598617554
0.01,26,UNet1D,0.00018969198572449386,37.21951017182779,0.9999135136604309
0.01,26,TCN,4.072940100741107e-06,53.90091976879113,0.9999943971633911
0.01,27,No Denoise,0.00017224134353455156,37.638625955431024,0.9995513558387756
0.01,27,Wavelet,6.179693446028978e-05,42.090330682769036,0.9998455047607422
0.01,27,S-G Filter,5.40720320714172e-05,42.670273089740284,0.9998663067817688
0.01,27,Wiener,4.366357461549342e-05,43.59880712689289,0.9998993277549744
0.01,27,DnResUnet,2.9417462428682484e-05,45.31394792544968,0.9999670386314392
0.01,27,BasicCNN,6.744843267370015e-05,41.7102813775,0.9998336434364319
0.01,27,DnCNN,3.110821489826776e-05,45.07124909562307,0.9999296069145203
0.01,27,UNet1D,0.00012492389942053705,39.033544680025905,0.9998950362205505
0.01,27,TCN,1.7314712749794126e-05,47.61584708978173,0.9999733567237854
0.01,28,No Denoise,3.947594450437464e-05,44.0366747023339,0.9998673796653748
0.01,28,Wavelet,3.3648851967882365e-05,44.73029748453942,0.9998887777328491
0.01,28,S-G Filter,2.7770491215051152e-05,45.56416438215195,0.9999103546142578
0.01,28,Wiener,6.416370160877705e-05,41.92710589519806,0.9998294711112976
0.01,28,DnResUnet,3.169011324644089e-05,44.99076208830637,0.9999335408210754
0.01,28,BasicCNN,9.543960186420009e-05,40.202713810366,0.99976646900177
0.01,28,DnCNN,4.4760730816051364e-05,43.491028312860614,0.9998899698257446
0.01,28,UNet1D,4.30900436185766e-05,43.656230662899674,0.9998458027839661
0.01,28,TCN,2.569805656094104e-05,45.90099719344717,0.9999240636825562
0.01,29,No Denoise,0.004052579402923584,23.922684671854984,0.9905632138252258
0.01,29,Wavelet,0.0018471248913556337,27.33503739214403,0.9956682324409485
0.01,29,S-G Filter,0.0015968355583027005,27.967398050880746,0.9962530732154846
0.01,29,Wiener,0.0014859111979603767,28.280071444032888,0.9965070486068726
0.01,29,DnResUnet,0.0006438065320253372,31.912446213003456,0.9984882473945618
0.01,29,BasicCNN,0.0014253519475460052,28.4607788652923,0.9967480301856995
0.01,29,DnCNN,0.0009052032837644219,30.43253879244285,0.9978938102722168
0.01,29,UNet1D,0.001049690879881382,29.78938576098752,0.9975515007972717
0.01,29,TCN,0.0005909136962145567,32.28475943813749,0.998620867729187
0.01,30,No Denoise,0.0011467990698292851,29.40512667982418,0.9978621602058411
0.01,30,Wavelet,0.0005637701251544058,32.48897941632827,0.9989469647407532
0.01,30,S-G Filter,0.0004693244700320065,33.28526801588011,0.999123215675354
0.01,30,Wiener,0.00021961674792692065,36.583345437533715,0.9995908737182617
0.01,30,DnResUnet,7.450080738635734e-05,41.27839020653858,0.9998618960380554
0.01,30,BasicCNN,0.0004354538978077471,33.610578176655906,0.9992045760154724
0.01,30,DnCNN,0.00015177103341557086,38.18811108731677,0.9997164011001587
0.01,30,UNet1D,0.0003042189928237349,35.16813675815379,0.9994991421699524
0.01,30,TCN,6.402943836292252e-05,41.93620307592564,0.9998859763145447
0.01,31,No Denoise,1.6277326722047292e-05,47.884169191762275,0.9999796152114868
0.01,31,Wavelet,8.80541392689338e-06,50.552502238034165,0.9999889731407166
0.01,31,S-G Filter,7.3906358011299744e-06,51.3131819854093,0.9999907612800598
0.01,31,Wiener,1.5853291188250296e-05,47.99880563318929,0.9999802708625793
0.01,31,DnResUnet,1.747072019497864e-05,47.576891917395514,0.9999807476997375
0.01,31,BasicCNN,2.2582717065233737e-05,46.46223806633893,0.9999767541885376
0.01,31,DnCNN,1.7167736586998217e-05,47.65286958920224,0.9999857544898987
0.01,31,UNet1D,0.0002661860198713839,35.748147574719724,0.999855637550354
0.01,31,TCN,6.524771379190497e-06,51.85434700923855,0.9999918937683105
0.01,32,No Denoise,8.62116357893683e-05,40.64434114475987,0.9997919797897339
0.01,32,Wavelet,7.941888179630041e-05,41.000762320179824,0.9998091459274292
0.01,32,S-G Filter,7.12506880518049e-05,41.47210937415462,0.9998297095298767
0.01,32,Wiener,7.597933290526271e-05,41.19304523848357,0.999805748462677
0.01,32,DnResUnet,3.697101055877283e-05,44.32138678339512,0.9999055862426758
0.01,32,BasicCNN,6.880129512865096e-05,41.62403386445703,0.9998251795768738
0.01,32,DnCNN,4.927513873553835e-05,43.07372144278475,0.9998828768730164
0.01,32,UNet1D,0.00014724471839144826,38.319602742290606,0.9997431635856628
0.01,32,TCN,4.224288568366319e-05,43.74246422063138,0.9999072551727295
0.01,33,No Denoise,2.243845483462792e-05,46.49007052937243,0.999961256980896
0.01,33,Wavelet,1.084721770894248e-05,49.64681643253954,0.9999831914901733
0.01,33,S-G Filter,1.0933084922726266e-05,49.61257278500193,0.9999827146530151
0.01,33,Wiener,1.3695904272026382e-05,48.63409288171887,0.9999812841415405
0.01,33,DnResUnet,3.0431488994508982e-05,45.16676797353362,0.9999688863754272
0.01,33,BasicCNN,1.6773563402239233e-05,47.7537466538831,0.9999738335609436
0.01,33,DnCNN,7.495243153243791e-06,51.25214273636365,0.9999915957450867
0.01,33,UNet1D,0.00010183337144553661,39.92109877601811,0.9999432563781738
0.01,33,TCN,5.9705657804443035e-06,52.23984512474924,0.9999920129776001
0.01,34,No Denoise,0.00017142374417744577,37.65929023421889,0.9997950792312622
0.01,34,Wavelet,6.953166302992031e-05,41.57817383212106,0.9999191164970398
0.01,34,S-G Filter,6.837156252004206e-05,41.6512449489771,0.9999209642410278
0.01,34,Wiener,4.660854392568581e-05,43.31534464433162,0.9999462366104126
0.01,34,DnResUnet,2.3827462428016588e-05,46.22922206591474,0.9999713897705078
0.01,34,BasicCNN,6.752379704266787e-05,41.70543144162132,0.9999192953109741
0.01,34,DnCNN,3.961703259847127e-05,44.02118057176384,0.9999578595161438
0.01,34,UNet1D,0.0003620522911660373,34.412286998403175,0.9999052286148071
0.01,34,TCN,1.9465984223643318e-05,47.107236329378026,0.9999765753746033
0.01,35,No Denoise,0.001055960194207728,29.76352452788725,0.9978941082954407
0.01,35,Wavelet,0.00041417431202717125,33.82816840475902,0.9991723299026489
0.01,35,S-G Filter,0.000417217641370371,33.79637336420423,0.9991663098335266
0.01,35,Wiener,0.0002664512721821666,35.743822018618914,0.9994670152664185
0.01,35,DnResUnet,5.937783498666249e-05,42.26375641541037,0.9999076724052429
0.01,35,BasicCNN,0.000309553841361776,35.09263802305668,0.9993883967399597
0.01,35,DnCNN,0.00015658745542168617,38.052430332063075,0.9996868968009949
0.01,35,UNet1D,0.00021366072178352624,36.70275308816421,0.9997175931930542
0.01,35,TCN,8.084350702119991e-05,40.923548548930185,0.9998394846916199
0.01,36,No Denoise,4.378074663691223e-05,43.58716836246251,0.9999555945396423
0.01,36,Wavelet,1.5579686078126542e-05,48.0744129736377,0.9999880194664001
0.01,36,S-G Filter,1.7032527466653846e-05,47.68720902044717,0.9999864101409912
